id;train_loss;train_acc;val_acc;val_loss
0;1.119130;0.733929;0.787500;
1;0.896900;0.775000;0.787500;
2;0.892337;0.775000;0.787500;
3;0.894612;0.775000;0.787500;
4;0.898754;0.775000;0.787500;
5;0.893640;0.775000;0.787500;
6;0.894756;0.775000;0.787500;
7;0.898104;0.775000;0.787500;
8;0.897306;0.775000;0.787500;
9;0.892371;0.775000;0.787500;
10;0.896382;0.775000;0.787500;
11;0.893729;0.775000;0.787500;
12;0.891307;0.775000;0.787500;
13;0.893541;0.775000;0.787500;
14;0.895001;0.775000;0.787500;
15;0.894182;0.775000;0.787500;
16;0.891708;0.775000;0.787500;
17;0.893711;0.775000;0.787500;
18;0.889086;0.775000;0.787500;
19;0.889288;0.775000;0.787500;
20;0.875042;0.775000;0.787500;
21;0.815752;0.775000;0.787500;
22;0.763545;0.775000;0.787500;
23;0.738110;0.775000;0.787500;
24;0.729191;0.775000;0.787500;
25;0.720963;0.775000;0.787500;
26;0.721045;0.775000;0.787500;
27;0.714568;0.775000;0.787500;
28;0.716925;0.775000;0.787500;
29;0.701622;0.775000;0.787500;
30;0.691360;0.775893;0.787500;
31;0.699053;0.774107;0.787500;
32;0.678697;0.774107;0.787500;
33;0.680289;0.775000;0.779167;
34;0.669653;0.774107;0.787500;
35;0.676501;0.774107;0.766667;
36;0.663924;0.774107;0.758333;
37;0.668024;0.774107;0.787500;
38;0.655354;0.773214;0.770833;
39;0.665468;0.774107;0.770833;
40;0.661479;0.772321;0.787500;
41;0.656434;0.772321;0.775000;
42;0.653544;0.772321;0.766667;
43;0.653344;0.768750;0.745833;
44;0.648130;0.773214;0.775000;
45;0.644889;0.774107;0.741667;
46;0.647289;0.773214;0.766667;
47;0.641771;0.774107;0.766667;
48;0.630463;0.773214;0.741667;
49;0.636474;0.779464;0.766667;
50;0.646637;0.770536;0.766667;
51;0.618372;0.776786;0.754167;
52;0.639847;0.762500;0.766667;
53;0.628761;0.767857;0.762500;
54;0.618845;0.773214;0.758333;
55;0.622158;0.766071;0.754167;
56;0.601696;0.771429;0.745833;
57;0.608216;0.773214;0.741667;
58;0.608879;0.782143;0.766667;
59;0.622247;0.770536;0.766667;
60;0.623830;0.773214;0.770833;
61;0.610884;0.778571;0.770833;
62;0.600648;0.774107;0.766667;
63;0.589631;0.771429;0.770833;
64;0.598636;0.771429;0.762500;
65;0.605822;0.775000;0.745833;
66;0.591181;0.774107;0.770833;
67;0.585905;0.775000;0.754167;
68;0.574574;0.768750;0.758333;
69;0.590260;0.784821;0.766667;
70;0.571201;0.769643;0.770833;
71;0.572727;0.771429;0.770833;
72;0.557246;0.778571;0.754167;
73;0.581970;0.773214;0.766667;
74;0.570623;0.774107;0.770833;
75;0.562483;0.780357;0.766667;
76;0.568240;0.774107;0.770833;
77;0.565266;0.776786;0.779167;
78;0.558709;0.783929;0.770833;
79;0.548806;0.779464;0.770833;
80;0.555062;0.789286;0.762500;
81;0.557707;0.782143;0.750000;
82;0.540175;0.789286;0.766667;
83;0.545151;0.792857;0.787500;
