id;train_loss;train_acc;val_acc;val_loss
0;0.904130;0.771429;0.787500;
1;0.834697;0.775893;0.787500;
2;0.777815;0.775000;0.787500;
3;0.734291;0.775893;0.795833;
4;0.714624;0.778571;0.791667;
5;0.687318;0.781250;0.795833;
6;0.673788;0.774107;0.795833;
7;0.649667;0.784821;0.795833;
8;0.622789;0.782143;0.800000;
9;0.593425;0.797321;0.804167;
10;0.603489;0.779464;0.804167;
11;0.580612;0.783036;0.804167;
12;0.563280;0.787500;0.804167;
13;0.545316;0.799107;0.825000;
14;0.539782;0.796429;0.808333;
15;0.492861;0.808036;0.837500;
16;0.501541;0.813393;0.829167;
17;0.488077;0.812500;0.837500;
18;0.468053;0.821429;0.829167;
19;0.454138;0.828571;0.833333;
20;0.435526;0.833036;0.841667;
21;0.442467;0.829464;0.850000;
22;0.419575;0.842857;0.858333;
23;0.429093;0.836607;0.841667;
24;0.403905;0.852679;0.858333;
25;0.388562;0.851786;0.850000;
26;0.413344;0.838393;0.862500;
27;0.381378;0.853571;0.862500;
28;0.360750;0.858036;0.854167;
29;0.374574;0.857143;0.862500;
30;0.372799;0.851786;0.875000;
31;0.346548;0.875000;0.879167;
32;0.333039;0.872321;0.891667;
33;0.337190;0.871429;0.887500;
34;0.332510;0.869643;0.895833;
35;0.309125;0.885714;0.879167;
36;0.304899;0.883036;0.875000;
37;0.301613;0.891964;0.900000;
38;0.287674;0.889286;0.900000;
39;0.292342;0.890179;0.870833;
40;0.279128;0.898214;0.883333;
41;0.272844;0.905357;0.908333;
42;0.244573;0.897321;0.891667;
43;0.263324;0.895536;0.904167;
44;0.265439;0.896429;0.895833;
45;0.237155;0.912500;0.912500;
46;0.229467;0.909821;0.908333;
47;0.236395;0.913393;0.912500;
48;0.243305;0.917857;0.916667;
49;0.234835;0.902679;0.912500;
50;0.201477;0.922321;0.912500;
51;0.243287;0.902679;0.900000;
52;0.205194;0.927679;0.904167;
53;0.235623;0.914286;0.916667;
54;0.209560;0.914286;0.920833;
55;0.204852;0.921429;0.920833;
56;0.211226;0.923214;0.916667;
57;0.205002;0.916964;0.912500;
58;0.183872;0.930357;0.900000;
59;0.205971;0.921429;0.929167;
60;0.183016;0.928571;0.920833;
61;0.184651;0.929464;0.916667;
62;0.187437;0.936607;0.904167;
63;0.169424;0.940179;0.920833;
64;0.166172;0.935714;0.908333;
65;0.167495;0.938393;0.916667;
66;0.173228;0.928571;0.929167;
67;0.135608;0.947321;0.929167;
68;0.168238;0.941071;0.925000;
69;0.154525;0.940179;0.929167;
70;0.148931;0.945536;0.929167;
71;0.141853;0.950000;0.916667;
72;0.139392;0.943750;0.920833;
73;0.139946;0.951786;0.929167;
74;0.130942;0.941964;0.929167;
75;0.143206;0.949107;0.920833;
76;0.136270;0.957143;0.925000;
77;0.159086;0.941071;0.925000;
78;0.172458;0.927679;0.920833;
79;0.152348;0.946429;0.925000;
80;0.134485;0.950000;0.929167;
81;0.124686;0.953571;0.912500;
82;0.129917;0.953571;0.904167;
83;0.125507;0.951786;0.912500;
84;0.104931;0.955357;0.929167;
85;0.102723;0.963393;0.937500;
86;0.134824;0.948214;0.908333;
87;0.135578;0.949107;0.904167;
88;0.112728;0.959821;0.933333;
89;0.130397;0.944643;0.941667;
90;0.100585;0.964286;0.920833;
91;0.095863;0.970536;0.929167;
92;0.115707;0.954464;0.912500;
93;0.097193;0.971429;0.920833;
94;0.108620;0.966964;0.908333;
95;0.093240;0.964286;0.933333;
96;0.092115;0.966964;0.912500;
97;0.091233;0.964286;0.929167;
98;0.108871;0.955357;0.937500;
99;0.095646;0.966071;0.925000;
100;0.104302;0.964286;0.937500;
101;0.101644;0.957143;0.937500;
102;0.112122;0.958929;0.929167;
103;0.090377;0.966964;0.933333;
104;0.122284;0.958036;0.929167;
105;0.070327;0.977679;0.920833;
106;0.094164;0.965179;0.900000;
107;0.099716;0.963393;0.937500;
108;0.097501;0.960714;0.925000;
109;0.099819;0.966964;0.929167;
110;0.082389;0.966964;0.920833;
111;0.092025;0.967857;0.933333;
112;0.099443;0.961607;0.895833;
113;0.089118;0.966964;0.920833;
114;0.078417;0.973214;0.908333;
115;0.096321;0.964286;0.933333;
116;0.084323;0.972321;0.954167;
117;0.064395;0.976786;0.929167;
118;0.090543;0.966964;0.916667;
119;0.066596;0.974107;0.937500;
120;0.081607;0.970536;0.895833;
121;0.081142;0.968750;0.954167;
122;0.094761;0.959821;0.916667;
123;0.075177;0.976786;0.950000;
124;0.083257;0.966964;0.904167;
125;0.075482;0.975000;0.941667;
126;0.076130;0.968750;0.933333;
127;0.070844;0.977679;0.945833;
128;0.070095;0.976786;0.933333;
129;0.084471;0.968750;0.912500;
130;0.079000;0.967857;0.908333;
131;0.065063;0.975893;0.925000;
132;0.074319;0.969643;0.925000;
133;0.069550;0.973214;0.908333;
134;0.079045;0.968750;0.933333;
135;0.070188;0.972321;0.937500;
136;0.066508;0.978571;0.937500;
137;0.066461;0.977679;0.904167;
138;0.073892;0.975893;0.929167;
139;0.071213;0.974107;0.920833;
140;0.064771;0.978571;0.933333;
141;0.061199;0.979464;0.941667;
142;0.058168;0.974107;0.941667;
143;0.063416;0.975893;0.925000;
144;0.063017;0.974107;0.954167;
145;0.055488;0.980357;0.950000;
146;0.070141;0.971429;0.941667;
147;0.059037;0.977679;0.937500;
148;0.046956;0.985714;0.941667;
149;0.054417;0.982143;0.925000;
150;0.070923;0.971429;0.933333;
151;0.073622;0.966964;0.929167;
152;0.059829;0.982143;0.916667;
153;0.070598;0.976786;0.958333;
154;0.061657;0.978571;0.937500;
155;0.052099;0.977679;0.912500;
156;0.059346;0.977679;0.933333;
157;0.049415;0.975000;0.941667;
158;0.049895;0.985714;0.933333;
159;0.059109;0.975893;0.925000;
160;0.052573;0.977679;0.954167;
161;0.038394;0.983929;0.912500;
162;0.050795;0.979464;0.920833;
163;0.054345;0.978571;0.904167;
164;0.049856;0.977679;0.920833;
165;0.060539;0.978571;0.929167;
166;0.046490;0.984821;0.954167;
167;0.046394;0.984821;0.958333;
168;0.061217;0.979464;0.954167;
169;0.048916;0.984821;0.933333;
170;0.050630;0.981250;0.929167;
171;0.045779;0.986607;0.945833;
172;0.061092;0.978571;0.904167;
173;0.056902;0.978571;0.912500;
174;0.063271;0.975893;0.929167;
175;0.064490;0.979464;0.912500;
176;0.043815;0.985714;0.933333;
177;0.049706;0.984821;0.933333;
178;0.045695;0.985714;0.941667;
179;0.049481;0.980357;0.916667;
180;0.052298;0.984821;0.933333;
181;0.041879;0.985714;0.937500;
182;0.039416;0.983036;0.929167;
183;0.049552;0.980357;0.937500;
184;0.030638;0.989286;0.941667;
185;0.043309;0.981250;0.929167;
186;0.044591;0.984821;0.950000;
187;0.029593;0.987500;0.958333;
188;0.040577;0.985714;0.962500;
189;0.043868;0.984821;0.929167;
190;0.039135;0.984821;0.925000;
191;0.052538;0.979464;0.958333;
192;0.060726;0.975893;0.925000;
193;0.052683;0.984821;0.937500;
194;0.042689;0.984821;0.929167;
195;0.035250;0.986607;0.920833;
196;0.037943;0.987500;0.870833;
197;0.032365;0.989286;0.958333;
198;0.031596;0.988393;0.954167;
199;0.043756;0.986607;0.945833;
200;0.048619;0.983036;0.929167;
201;0.036687;0.987500;0.929167;
202;0.037006;0.989286;0.929167;
203;0.035383;0.986607;0.954167;
204;0.046252;0.986607;0.962500;
205;0.048699;0.982143;0.929167;
206;0.031008;0.992857;0.937500;
207;0.036736;0.984821;0.933333;
208;0.058341;0.982143;0.958333;
209;0.049792;0.985714;0.962500;
210;0.031631;0.991071;0.950000;
211;0.023539;0.990179;0.945833;
212;0.036896;0.984821;0.933333;
213;0.037888;0.983036;0.958333;
214;0.030930;0.987500;0.937500;
215;0.035917;0.987500;0.937500;
216;0.049513;0.983036;0.937500;
217;0.037981;0.984821;0.958333;
218;0.029646;0.987500;0.900000;
219;0.048359;0.984821;0.958333;
220;0.050953;0.985714;0.937500;
221;0.040648;0.982143;0.950000;
222;0.038248;0.987500;0.941667;
223;0.037237;0.989286;0.941667;
224;0.036703;0.983929;0.945833;
225;0.037031;0.988393;0.950000;
226;0.036143;0.986607;0.966667;
227;0.047668;0.987500;0.941667;
228;0.026724;0.989286;0.966667;
229;0.041603;0.981250;0.925000;
230;0.044640;0.982143;0.937500;
231;0.032802;0.989286;0.958333;
232;0.036490;0.985714;0.958333;
233;0.048897;0.983036;0.954167;
234;0.034928;0.984821;0.941667;
235;0.025997;0.990179;0.954167;
236;0.027812;0.990179;0.966667;
237;0.029533;0.984821;0.945833;
238;0.029624;0.989286;0.962500;
239;0.024868;0.988393;0.929167;
240;0.042024;0.984821;0.954167;
241;0.040562;0.983036;0.962500;
242;0.044964;0.986607;0.925000;
243;0.034416;0.986607;0.962500;
244;0.038935;0.987500;0.941667;
245;0.019704;0.993750;0.937500;
246;0.035075;0.988393;0.929167;
247;0.032997;0.985714;0.950000;
248;0.020331;0.991071;0.950000;
249;0.029110;0.990179;0.933333;
