id;train_loss;train_acc;val_acc;val_loss
0;1.507087;0.764286;0.787500;
1;0.959110;0.775000;0.787500;
2;0.906225;0.775000;0.787500;
3;0.901275;0.775000;0.787500;
4;0.898510;0.775000;0.787500;
5;0.896408;0.775000;0.787500;
6;0.894501;0.775000;0.787500;
7;0.892718;0.775000;0.787500;
8;0.891248;0.775000;0.787500;
9;0.890978;0.775000;0.787500;
10;0.888778;0.775000;0.787500;
11;0.888754;0.775000;0.787500;
12;0.887192;0.775000;0.787500;
13;0.885540;0.775000;0.787500;
14;0.884648;0.775000;0.787500;
15;0.884671;0.775000;0.787500;
16;0.883579;0.775000;0.787500;
17;0.883416;0.775000;0.787500;
18;0.881401;0.775000;0.787500;
19;0.880855;0.775000;0.787500;
20;0.879660;0.775000;0.787500;
21;0.879121;0.775000;0.787500;
22;0.879104;0.775000;0.787500;
23;0.878448;0.775000;0.787500;
24;0.877859;0.775000;0.787500;
25;0.876389;0.775000;0.787500;
26;0.876245;0.775000;0.787500;
27;0.874715;0.775000;0.787500;
28;0.874422;0.775000;0.787500;
29;0.874349;0.775000;0.787500;
30;0.872713;0.775000;0.787500;
31;0.872440;0.775000;0.787500;
32;0.871172;0.775000;0.787500;
33;0.869799;0.775000;0.787500;
34;0.869808;0.775000;0.787500;
35;0.867224;0.775000;0.787500;
36;0.867308;0.775000;0.787500;
37;0.865776;0.775000;0.787500;
38;0.864767;0.775000;0.787500;
39;0.862540;0.775000;0.787500;
40;0.861220;0.775000;0.787500;
41;0.861313;0.775000;0.787500;
42;0.859067;0.775000;0.787500;
43;0.857368;0.775000;0.787500;
44;0.855345;0.775000;0.787500;
45;0.855448;0.775000;0.787500;
46;0.853052;0.775000;0.787500;
47;0.850961;0.775000;0.787500;
48;0.849656;0.775000;0.787500;
49;0.847503;0.775000;0.787500;
50;0.845532;0.775000;0.787500;
51;0.843679;0.775000;0.787500;
52;0.840993;0.775000;0.787500;
53;0.840203;0.775000;0.787500;
54;0.837752;0.775000;0.787500;
55;0.835643;0.775000;0.787500;
56;0.832932;0.775000;0.787500;
57;0.831862;0.775000;0.787500;
58;0.828466;0.775000;0.787500;
59;0.824925;0.775000;0.787500;
60;0.825499;0.775000;0.787500;
61;0.822409;0.775000;0.787500;
62;0.821166;0.775000;0.787500;
63;0.818878;0.775000;0.787500;
64;0.817732;0.775000;0.787500;
65;0.813902;0.775000;0.787500;
66;0.811069;0.775000;0.787500;
67;0.809237;0.775000;0.787500;
68;0.809693;0.775000;0.787500;
69;0.804619;0.775000;0.787500;
70;0.800778;0.775000;0.787500;
71;0.799071;0.775893;0.787500;
72;0.796770;0.775000;0.787500;
73;0.796999;0.775893;0.787500;
74;0.794573;0.775893;0.787500;
75;0.790411;0.775893;0.787500;
76;0.789815;0.775893;0.787500;
77;0.784138;0.775893;0.779167;
78;0.780058;0.775893;0.779167;
79;0.778568;0.775893;0.775000;
80;0.774843;0.775893;0.779167;
81;0.769290;0.775893;0.779167;
82;0.770462;0.775000;0.779167;
83;0.765763;0.775893;0.779167;
84;0.762490;0.775893;0.779167;
85;0.755900;0.775893;0.779167;
86;0.754514;0.775000;0.779167;
87;0.751595;0.776786;0.779167;
88;0.748582;0.775000;0.779167;
89;0.744781;0.774107;0.779167;
90;0.742560;0.776786;0.779167;
91;0.737640;0.775000;0.779167;
92;0.729474;0.775000;0.779167;
93;0.727619;0.774107;0.779167;
94;0.728691;0.775000;0.779167;
95;0.721611;0.775893;0.770833;
96;0.716318;0.776786;0.779167;
97;0.713450;0.774107;0.770833;
98;0.712225;0.775000;0.770833;
99;0.706591;0.777679;0.770833;
100;0.704683;0.776786;0.770833;
101;0.697733;0.776786;0.770833;
102;0.694989;0.776786;0.770833;
103;0.690471;0.776786;0.775000;
104;0.686297;0.779464;0.770833;
105;0.686040;0.779464;0.770833;
106;0.683663;0.776786;0.775000;
