id;train_loss;train_acc;val_acc;val_loss
0;1.791895;0.062500;-1.000000;
1;1.777991;0.812500;-1.000000;
2;1.765827;0.812500;-1.000000;
3;1.753971;0.812500;-1.000000;
4;1.744976;0.750000;-1.000000;
5;1.728257;0.812500;-1.000000;
6;1.705828;0.875000;-1.000000;
7;1.693915;0.812500;-1.000000;
8;1.691141;0.750000;-1.000000;
9;1.688560;0.687500;-1.000000;
10;1.706635;0.562500;-1.000000;
11;1.663923;0.687500;-1.000000;
12;1.612865;0.812500;-1.000000;
13;1.659445;0.562500;-1.000000;
14;1.586459;0.750000;-1.000000;
15;1.526245;0.812500;-1.000000;
16;1.614373;0.562500;-1.000000;
17;1.487835;0.750000;-1.000000;
18;1.352895;0.937500;-1.000000;
19;1.231438;1.000000;-1.000000;
20;1.354298;0.750000;-1.000000;
21;1.188346;0.875000;-1.000000;
22;1.179669;0.812500;-1.000000;
23;1.210040;0.750000;-1.000000;
24;1.022843;0.875000;-1.000000;
25;1.444359;0.562500;-1.000000;
26;0.912683;0.875000;-1.000000;
27;0.965242;0.812500;-1.000000;
28;0.805990;0.875000;-1.000000;
29;0.509130;1.000000;-1.000000;
30;0.987275;0.750000;-1.000000;
31;0.583789;0.875000;-1.000000;
32;1.498030;0.562500;-1.000000;
33;0.704242;0.875000;-1.000000;
34;0.350921;1.000000;-1.000000;
35;0.730973;0.812500;-1.000000;
36;0.770952;0.812500;-1.000000;
37;0.666731;0.875000;-1.000000;
38;0.369167;0.937500;-1.000000;
39;0.386274;0.937500;-1.000000;
40;1.469874;0.625000;-1.000000;
41;1.151607;0.687500;-1.000000;
42;0.672800;0.875000;-1.000000;
43;1.057575;0.687500;-1.000000;
44;0.908693;0.750000;-1.000000;
45;1.458593;0.562500;-1.000000;
46;0.787718;0.812500;-1.000000;
47;0.758506;0.812500;-1.000000;
48;1.118303;0.687500;-1.000000;
49;1.087687;0.687500;-1.000000;
50;0.761543;0.812500;-1.000000;
51;1.088449;0.687500;-1.000000;
52;0.658710;0.875000;-1.000000;
53;0.416308;0.937500;-1.000000;
54;0.571820;0.875000;-1.000000;
55;1.367543;0.625000;-1.000000;
56;1.519995;0.562500;-1.000000;
57;0.823967;0.812500;-1.000000;
58;1.587112;0.500000;-1.000000;
59;0.957783;0.750000;-1.000000;
60;0.511857;0.937500;-1.000000;
61;0.331785;1.000000;-1.000000;
62;0.849569;0.812500;-1.000000;
63;1.115708;0.687500;-1.000000;
64;1.350077;0.625000;-1.000000;
65;1.264326;0.687500;-1.000000;
66;0.775591;0.812500;-1.000000;
67;1.269802;0.625000;-1.000000;
68;0.949669;0.750000;-1.000000;
69;0.796761;0.812500;-1.000000;
70;1.270294;0.687500;-1.000000;
71;0.779477;0.812500;-1.000000;
72;0.776768;0.812500;-1.000000;
73;0.814970;0.812500;-1.000000;
74;0.889445;0.750000;-1.000000;
75;0.790848;0.812500;-1.000000;
